Model,Ethnicity,Accuracy,Precision,Recall,AUC
Local,unknown,0.8852,0.6856,0.5097,0.7328
Federated,unknown,0.8749,0.6006,0.6299,0.7755
Local,white,0.8145,0.704,0.3957,0.6715
Federated,white,0.8156,0.6779,0.4454,0.6891
Local,other,0.832,0.5949,0.2843,0.6202
Federated,other,0.8439,0.6222,0.3952,0.6704
Local,asian,0.8715,0.6263,0.456,0.7026
Federated,asian,0.8752,0.6695,0.4093,0.6858
Local,hispanic_latino,0.8341,0.6885,0.3013,0.6338
Federated,hispanic_latino,0.8391,0.7116,0.3199,0.6439
Local,black_african_american,0.823,0.7173,0.6278,0.7645
Federated,black_african_american,0.7936,0.8097,0.3626,0.6643
Local,unable_to_obtain,0.9144,0.4667,0.2258,0.6012
Federated,unable_to_obtain,0.9144,0.4783,0.3548,0.6599
Local,american_indian_alaska_native,0.9156,0.75,0.7778,0.8613
Federated,american_indian_alaska_native,0.8961,0.7895,0.5556,0.762
Local,Average,0.8612875,0.6541625,0.44730000000000003,0.6984874999999999
Federated,Average,0.8565999999999999,0.6699125,0.4340875,0.6938625
